dep;jour;P;T;cl_age90
01;2020-05-13;0;16;09
01;2020-05-13;1;17;19
01;2020-05-13;0;33;29
01;2020-05-13;1;72;39
01;2020-05-13;0;54;49
01;2020-05-13;0;41;59
01;2020-05-13;0;29;69
01;2020-05-13;1;30;79
01;2020-05-13;4;28;89
01;2020-05-13;2;14;90
01;2020-05-13;9;334;0
01;2020-05-14;0;27;09
01;2020-05-14;6;35;19
01;2020-05-14;1;45;29
01;2020-05-14;0;83;39
01;2020-05-14;1;70;49
01;2020-05-14;1;79;59
01;2020-05-14;0;42;69
01;2020-05-14;0;30;79
01;2020-05-14;0;17;89
01;2020-05-14;0;10;90
01;2020-05-14;9;438;0
01;2020-05-15;0;31;09
01;2020-05-15;0;21;19
01;2020-05-15;0;64;29
01;2020-05-15;2;78;39
01;2020-05-15;0;66;49
01;2020-05-15;1;79;59
01;2020-05-15;0;43;69
01;2020-05-15;1;29;79
01;2020-05-15;1;25;89
01;2020-05-15;0;13;90
01;2020-05-15;5;449;0
01;2020-05-16;0;13;09
01;2020-05-16;0;11;19
01;2020-05-16;0;13;29
01;2020-05-16;0;17;39
01;2020-05-16;0;23;49
01;2020-05-16;0;22;59
01;2020-05-16;0;16;69
01;2020-05-16;0;12;79
01;2020-05-16;0;13;89
01;2020-05-16;0;7;90
01;2020-05-16;0;147;0
01;2020-05-17;0;0;09
01;2020-05-17;0;0;19
01;2020-05-17;0;2;29
01;2020-05-17;0;0;39
01;2020-05-17;0;1;49
01;2020-05-17;0;5;59
01;2020-05-17;0;4;69
01;2020-05-17;0;9;79
01;2020-05-17;0;7;89
01;2020-05-17;0;4;90
01;2020-05-17;0;32;0
01;2020-05-18;0;30;09
01;2020-05-18;0;32;19
01;2020-05-18;0;78;29
01;2020-05-18;1;100;39
01;2020-05-18;0;95;49
01;2020-05-18;0;69;59
01;2020-05-18;0;50;69
01;2020-05-18;1;37;79
01;2020-05-18;6;41;89
01;2020-05-18;3;25;90
01;2020-05-18;11;557;0
01;2020-05-19;0;43;09
01;2020-05-19;1;34;19
01;2020-05-19;0;79;29
01;2020-05-19;1;114;39
01;2020-05-19;0;100;49
01;2020-05-19;0;114;59
01;2020-05-19;2;59;69
01;2020-05-19;0;43;79
01;2020-05-19;2;32;89
01;2020-05-19;3;9;90
01;2020-05-19;9;627;0
01;2020-05-20;0;29;09
01;2020-05-20;0;36;19
01;2020-05-20;3;40;29
01;2020-05-20;3;57;39
01;2020-05-20;3;64;49
01;2020-05-20;0;56;59
01;2020-05-20;0;35;69
01;2020-05-20;0;51;79
01;2020-05-20;2;58;89
01;2020-05-20;0;57;90
01;2020-05-20;11;483;0
01;2020-05-21;0;4;09
01;2020-05-21;0;0;19
01;2020-05-21;0;2;29
01;2020-05-21;0;4;39
01;2020-05-21;0;2;49
01;2020-05-21;0;4;59
01;2020-05-21;0;5;69
01;2020-05-21;1;8;79
01;2020-05-21;0;9;89
01;2020-05-21;0;3;90
01;2020-05-21;1;41;0
01;2020-05-22;0;22;09
01;2020-05-22;1;29;19
01;2020-05-22;0;48;29
01;2020-05-22;1;53;39
01;2020-05-22;0;39;49
01;2020-05-22;0;48;59
01;2020-05-22;2;51;69
01;2020-05-22;2;40;79
01;2020-05-22;0;18;89
01;2020-05-22;1;9;90
01;2020-05-22;7;357;0
01;2020-05-23;0;12;09
01;2020-05-23;0;10;19
01;2020-05-23;1;19;29
01;2020-05-23;0;17;39
01;2020-05-23;1;13;49
01;2020-05-23;0;25;59
01;2020-05-23;0;13;69
01;2020-05-23;0;19;79
01;2020-05-23;0;11;89
01;2020-05-23;0;6;90
01;2020-05-23;2;145;0
01;2020-05-24;0;4;09
01;2020-05-24;0;1;19
01;2020-05-24;0;2;29
01;2020-05-24;0;2;39
01;2020-05-24;0;4;49
01;2020-05-24;0;4;59
01;2020-05-24;0;6;69
01;2020-05-24;0;6;79
01;2020-05-24;0;11;89
01;2020-05-24;0;4;90
01;2020-05-24;0;44;0
01;2020-05-25;0;22;09
01;2020-05-25;0;37;19
01;2020-05-25;0;44;29
01;2020-05-25;1;44;39
01;2020-05-25;0;49;49
